Estacao,Grupo
Capão Redondo,Capital
Cerqueira César,Capital
Cid.Universitária USP -  IPEN,Capital
Congonhas,Capital
Grajaú - Parelheiros,Capital
Ibirapuera,Capital
Interlagos,Capital
Itaim Paulista,Capital
Itaquera,Capital
Marg. Tietê - Pte dos Remédios,Capital
Mooca,Capital
Nossa Senhora do Ó,Capital
Parque Dom Pedro II,Capital
Perus,Capital
Pico do Jaraguá,Capital
Pinheiros,Capital
Santana,Capital
Santo Amaro,Capital
Carapicuíba,Região Metropolitana de São Paulo
Diadema,Região Metropolitana de São Paulo
Guarulhos - Paço Municipal,Região Metropolitana de São Paulo
Guarulhos - Pimentas,Região Metropolitana de São Paulo
Mauá,Região Metropolitana de São Paulo
Osasco,Região Metropolitana de São Paulo
Santo André - Capuava,Região Metropolitana de São Paulo
São Bernardo do Campo - Centro,Região Metropolitana de São Paulo
São Bernardo do Campo - Paulicéia,Região Metropolitana de São Paulo
São Caetano do Sul,Região Metropolitana de São Paulo
Taboão da Serra,Região Metropolitana de São Paulo
Cubatão - Centro,Litoral
Cubatão - Vila Parisi,Litoral
Cubatão - Vale do Mogi,Litoral
Santos,Litoral
Santos - Ponta da Praia,Litoral
São Sebastião,Litoral
Guaratinguetá,Vale do Paraíba - Jundiaí - Região de Sorocaba
Jacareí,Vale do Paraíba - Jundiaí - Região de Sorocaba
Jundiaí,Vale do Paraíba - Jundiaí - Região de Sorocaba
São José Campos,Vale do Paraíba - Jundiaí - Região de Sorocaba
São José Campos - Jardim Satélite,Vale do Paraíba - Jundiaí - Região de Sorocaba
Sorocaba,Vale do Paraíba - Jundiaí - Região de Sorocaba
Tatuí,Vale do Paraíba - Jundiaí - Região de Sorocaba
Taubaté,Vale do Paraíba - Jundiaí - Região de Sorocaba
Americana,Região de Campinas - Norte - Centro-Oeste do Estado
Araçatuba,Região de Campinas - Norte - Centro-Oeste do Estado
Araraquara,Região de Campinas - Norte - Centro-Oeste do Estado
Bauru,Região de Campinas - Norte - Centro-Oeste do Estado
Campinas - Centro,Região de Campinas - Norte - Centro-Oeste do Estado
Campinas - Taquaral,Região de Campinas - Norte - Centro-Oeste do Estado
Campinas - Vila União,Região de Campinas - Norte - Centro-Oeste do Estado
Catanduva,Região de Campinas - Norte - Centro-Oeste do Estado
Jaú,Região de Campinas - Norte - Centro-Oeste do Estado
Limeira,Região de Campinas - Norte - Centro-Oeste do Estado
Marília,Região de Campinas - Norte - Centro-Oeste do Estado
Paulínia,Região de Campinas - Norte - Centro-Oeste do Estado
Paulínia - Santa Terezinha,Região de Campinas - Norte - Centro-Oeste do Estado
Piracicaba,Região de Campinas - Norte - Centro-Oeste do Estado
Presidente Prudente,Região de Campinas - Norte - Centro-Oeste do Estado
Ribeirão Preto,Região de Campinas - Norte - Centro-Oeste do Estado
Rio Claro - Jardim Guanabara,Região de Campinas - Norte - Centro-Oeste do Estado
Santa Gertrudes,Região de Campinas - Norte - Centro-Oeste do Estado
São José do Rio Preto,Região de Campinas - Norte - Centro-Oeste do Estado
