,ID,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
0,0,2015-01-01,01:00,Americana - Vila Santa Maria,SP01,MP10,65.0,ug/m3,automatica
1,1,2015-01-01,02:00,Americana - Vila Santa Maria,SP01,MP10,98.0,ug/m3,automatica
2,2,2015-01-01,03:00,Americana - Vila Santa Maria,SP01,MP10,79.0,ug/m3,automatica
3,3,2015-01-01,04:00,Americana - Vila Santa Maria,SP01,MP10,53.0,ug/m3,automatica
4,4,2015-01-01,05:00,Americana - Vila Santa Maria,SP01,MP10,35.0,ug/m3,automatica
5,5,2015-01-01,06:00,Americana - Vila Santa Maria,SP01,MP10,24.0,ug/m3,automatica
6,6,2015-01-01,07:00,Americana - Vila Santa Maria,SP01,MP10,25.0,ug/m3,automatica
7,7,2015-01-01,08:00,Americana - Vila Santa Maria,SP01,MP10,41.0,ug/m3,automatica
8,8,2015-01-01,09:00,Americana - Vila Santa Maria,SP01,MP10,28.0,ug/m3,automatica
9,9,2015-01-01,10:00,Americana - Vila Santa Maria,SP01,MP10,19.0,ug/m3,automatica
10,10,2015-01-01,11:00,Americana - Vila Santa Maria,SP01,MP10,12.0,ug/m3,automatica
11,11,2015-01-01,12:00,Americana - Vila Santa Maria,SP01,MP10,1.0,ug/m3,automatica
12,12,2015-01-01,13:00,Americana - Vila Santa Maria,SP01,MP10,2.0,ug/m3,automatica
13,13,2015-01-01,14:00,Americana - Vila Santa Maria,SP01,MP10,5.0,ug/m3,automatica
14,14,2015-01-01,15:00,Americana - Vila Santa Maria,SP01,MP10,9.0,ug/m3,automatica
15,15,2015-01-01,16:00,Americana - Vila Santa Maria,SP01,MP10,12.0,ug/m3,automatica
16,16,2015-01-01,17:00,Americana - Vila Santa Maria,SP01,MP10,9.0,ug/m3,automatica
17,17,2015-01-01,18:00,Americana - Vila Santa Maria,SP01,MP10,22.0,ug/m3,automatica
18,18,2015-01-01,19:00,Americana - Vila Santa Maria,SP01,MP10,4.0,ug/m3,automatica
19,19,2015-01-01,20:00,Americana - Vila Santa Maria,SP01,MP10,8.0,ug/m3,automatica
20,20,2015-01-01,21:00,Americana - Vila Santa Maria,SP01,MP10,7.0,ug/m3,automatica
21,21,2015-01-01,22:00,Americana - Vila Santa Maria,SP01,MP10,13.0,ug/m3,automatica
22,22,2015-01-01,23:00,Americana - Vila Santa Maria,SP01,MP10,11.0,ug/m3,automatica
23,23,2015-01-01,23:55,Americana - Vila Santa Maria,SP01,MP10,18.0,ug/m3,automatica
24,24,2015-01-02,01:00,Americana - Vila Santa Maria,SP01,MP10,14.0,ug/m3,automatica
25,25,2015-01-02,02:00,Americana - Vila Santa Maria,SP01,MP10,21.0,ug/m3,automatica
26,26,2015-01-02,03:00,Americana - Vila Santa Maria,SP01,MP10,3.0,ug/m3,automatica
27,27,2015-01-02,04:00,Americana - Vila Santa Maria,SP01,MP10,18.0,ug/m3,automatica
28,28,2015-01-02,05:00,Americana - Vila Santa Maria,SP01,MP10,19.0,ug/m3,automatica
29,29,2015-01-02,06:00,Americana - Vila Santa Maria,SP01,MP10,19.0,ug/m3,automatica
30,30,2015-01-02,07:00,Americana - Vila Santa Maria,SP01,MP10,18.0,ug/m3,automatica
31,31,2015-01-02,08:00,Americana - Vila Santa Maria,SP01,MP10,27.0,ug/m3,automatica
32,32,2015-01-02,09:00,Americana - Vila Santa Maria,SP01,MP10,25.0,ug/m3,automatica
33,33,2015-01-02,10:00,Americana - Vila Santa Maria,SP01,MP10,31.0,ug/m3,automatica
34,34,2015-01-02,11:00,Americana - Vila Santa Maria,SP01,MP10,15.0,ug/m3,automatica
35,35,2015-01-02,12:00,Americana - Vila Santa Maria,SP01,MP10,15.0,ug/m3,automatica
36,36,2015-01-02,13:00,Americana - Vila Santa Maria,SP01,MP10,6.0,ug/m3,automatica
37,37,2015-01-02,14:00,Americana - Vila Santa Maria,SP01,MP10,5.0,ug/m3,automatica
38,38,2015-01-02,15:00,Americana - Vila Santa Maria,SP01,MP10,17.0,ug/m3,automatica
39,39,2015-01-02,16:00,Americana - Vila Santa Maria,SP01,MP10,19.0,ug/m3,automatica
40,40,2015-01-02,17:00,Americana - Vila Santa Maria,SP01,MP10,29.0,ug/m3,automatica
41,41,2015-01-02,18:00,Americana - Vila Santa Maria,SP01,MP10,9.0,ug/m3,automatica
42,42,2015-01-02,19:00,Americana - Vila Santa Maria,SP01,MP10,12.0,ug/m3,automatica
43,43,2015-01-02,20:00,Americana - Vila Santa Maria,SP01,MP10,0.0,ug/m3,automatica
44,44,2015-01-02,21:00,Americana - Vila Santa Maria,SP01,MP10,56.0,ug/m3,automatica
45,45,2015-01-02,22:00,Americana - Vila Santa Maria,SP01,MP10,31.0,ug/m3,automatica
46,46,2015-01-02,23:00,Americana - Vila Santa Maria,SP01,MP10,8.0,ug/m3,automatica
47,47,2015-01-02,23:55,Americana - Vila Santa Maria,SP01,MP10,19.0,ug/m3,automatica
48,48,2015-01-03,01:00,Americana - Vila Santa Maria,SP01,MP10,13.0,ug/m3,automatica
49,49,2015-01-03,02:00,Americana - Vila Santa Maria,SP01,MP10,16.0,ug/m3,automatica
50,50,2015-01-03,03:00,Americana - Vila Santa Maria,SP01,MP10,5.0,ug/m3,automatica
51,51,2015-01-03,04:00,Americana - Vila Santa Maria,SP01,MP10,22.0,ug/m3,automatica
52,52,2015-01-03,05:00,Americana - Vila Santa Maria,SP01,MP10,12.0,ug/m3,automatica
53,53,2015-01-03,06:00,Americana - Vila Santa Maria,SP01,MP10,18.0,ug/m3,automatica
54,54,2015-01-03,07:00,Americana - Vila Santa Maria,SP01,MP10,22.0,ug/m3,automatica
55,55,2015-01-03,08:00,Americana - Vila Santa Maria,SP01,MP10,30.0,ug/m3,automatica
56,56,2015-01-03,09:00,Americana - Vila Santa Maria,SP01,MP10,35.0,ug/m3,automatica
57,57,2015-01-03,10:00,Americana - Vila Santa Maria,SP01,MP10,18.0,ug/m3,automatica
58,58,2015-01-03,11:00,Americana - Vila Santa Maria,SP01,MP10,18.0,ug/m3,automatica
59,59,2015-01-03,12:00,Americana - Vila Santa Maria,SP01,MP10,14.0,ug/m3,automatica
60,60,2015-01-03,13:00,Americana - Vila Santa Maria,SP01,MP10,18.0,ug/m3,automatica
61,61,2015-01-03,14:00,Americana - Vila Santa Maria,SP01,MP10,8.0,ug/m3,automatica
62,62,2015-01-03,15:00,Americana - Vila Santa Maria,SP01,MP10,10.0,ug/m3,automatica
63,63,2015-01-03,16:00,Americana - Vila Santa Maria,SP01,MP10,7.0,ug/m3,automatica
64,64,2015-01-03,17:00,Americana - Vila Santa Maria,SP01,MP10,24.0,ug/m3,automatica
65,65,2015-01-03,18:00,Americana - Vila Santa Maria,SP01,MP10,6.0,ug/m3,automatica
66,66,2015-01-03,19:00,Americana - Vila Santa Maria,SP01,MP10,22.0,ug/m3,automatica
67,67,2015-01-03,20:00,Americana - Vila Santa Maria,SP01,MP10,5.0,ug/m3,automatica
68,68,2015-01-03,21:00,Americana - Vila Santa Maria,SP01,MP10,12.0,ug/m3,automatica
69,69,2015-01-03,22:00,Americana - Vila Santa Maria,SP01,MP10,22.0,ug/m3,automatica
70,70,2015-01-03,23:00,Americana - Vila Santa Maria,SP01,MP10,23.0,ug/m3,automatica
71,71,2015-01-03,23:55,Americana - Vila Santa Maria,SP01,MP10,9.0,ug/m3,automatica
72,72,2015-01-04,01:00,Americana - Vila Santa Maria,SP01,MP10,27.0,ug/m3,automatica
73,73,2015-01-04,02:00,Americana - Vila Santa Maria,SP01,MP10,19.0,ug/m3,automatica
74,74,2015-01-04,03:00,Americana - Vila Santa Maria,SP01,MP10,2.0,ug/m3,automatica
75,75,2015-01-04,04:00,Americana - Vila Santa Maria,SP01,MP10,19.0,ug/m3,automatica
76,76,2015-01-04,05:00,Americana - Vila Santa Maria,SP01,MP10,19.0,ug/m3,automatica
77,77,2015-01-04,06:00,Americana - Vila Santa Maria,SP01,MP10,13.0,ug/m3,automatica
78,78,2015-01-04,07:00,Americana - Vila Santa Maria,SP01,MP10,11.0,ug/m3,automatica
79,79,2015-01-04,08:00,Americana - Vila Santa Maria,SP01,MP10,9.0,ug/m3,automatica
80,80,2015-01-04,09:00,Americana - Vila Santa Maria,SP01,MP10,13.0,ug/m3,automatica
81,81,2015-01-04,10:00,Americana - Vila Santa Maria,SP01,MP10,13.0,ug/m3,automatica
82,82,2015-01-04,11:00,Americana - Vila Santa Maria,SP01,MP10,4.0,ug/m3,automatica
83,83,2015-01-04,12:00,Americana - Vila Santa Maria,SP01,MP10,4.0,ug/m3,automatica
84,84,2015-01-04,13:00,Americana - Vila Santa Maria,SP01,MP10,12.0,ug/m3,automatica
85,85,2015-01-04,14:00,Americana - Vila Santa Maria,SP01,MP10,9.0,ug/m3,automatica
86,86,2015-01-04,15:00,Americana - Vila Santa Maria,SP01,MP10,9.0,ug/m3,automatica
87,87,2015-01-04,16:00,Americana - Vila Santa Maria,SP01,MP10,6.0,ug/m3,automatica
88,88,2015-01-04,17:00,Americana - Vila Santa Maria,SP01,MP10,12.0,ug/m3,automatica
89,89,2015-01-04,18:00,Americana - Vila Santa Maria,SP01,MP10,7.0,ug/m3,automatica
90,90,2015-01-04,19:00,Americana - Vila Santa Maria,SP01,MP10,11.0,ug/m3,automatica
91,91,2015-01-04,20:00,Americana - Vila Santa Maria,SP01,MP10,6.0,ug/m3,automatica
92,92,2015-01-04,21:00,Americana - Vila Santa Maria,SP01,MP10,5.0,ug/m3,automatica
93,93,2015-01-04,22:00,Americana - Vila Santa Maria,SP01,MP10,25.0,ug/m3,automatica
94,94,2015-01-04,23:00,Americana - Vila Santa Maria,SP01,MP10,16.0,ug/m3,automatica
95,95,2015-01-04,23:55,Americana - Vila Santa Maria,SP01,MP10,15.0,ug/m3,automatica
96,96,2015-01-05,01:00,Americana - Vila Santa Maria,SP01,MP10,13.0,ug/m3,automatica
97,97,2015-01-05,02:00,Americana - Vila Santa Maria,SP01,MP10,9.0,ug/m3,automatica
98,98,2015-01-05,03:00,Americana - Vila Santa Maria,SP01,MP10,14.0,ug/m3,automatica
99,99,2015-01-05,04:00,Americana - Vila Santa Maria,SP01,MP10,26.0,ug/m3,automatica
100,100,2015-01-05,05:00,Americana - Vila Santa Maria,SP01,MP10,20.0,ug/m3,automatica
101,101,2015-01-05,06:00,Americana - Vila Santa Maria,SP01,MP10,14.0,ug/m3,automatica
102,102,2015-01-05,07:00,Americana - Vila Santa Maria,SP01,MP10,20.0,ug/m3,automatica
103,103,2015-01-05,08:00,Americana - Vila Santa Maria,SP01,MP10,20.0,ug/m3,automatica
